,Title,Price,Location,Area(SFT),Seller_Info,Construction & Others,Status
122,Residential Plot,2909000.0,"Ramavarapadu, Vijayawada",1647 ,Dial To Property,3 - 4 years old4 open sidesEast facing,New
123,Residential Plot,3116000.0,"Poranki, Vijayawada",1764 ,Dial To Property,2 open sidesWest facing,New
124,Residential Plot,3234000.0000000005,"Poranki, Vijayawada",1764 ,Dial To Property,2 open sidesEast facing,New
125,Residential Plot,42000000.0,"Poranki, Vijayawada",1647 ,Dial To Property,,New
126,Residential Plot,4209000.0,"Poranki, Vijayawada",1647 ,Dial To Property,1 open sidesWest facing,New
127,Residential Plot,42000000.0,"Poranki, Vijayawada",1647 ,Dial To Property,1 open sidesWest facing,New
128,Residential Plot,3151000.0,"Enikepadu, Vijayawada",1719 ,Dial To Property,1 open sidesEast facing,New
129,Residential Plot,3036000.0,"Enikepadu, Vijayawada",1719 ,Dial To Property,,New
130,Residential Plot,3036000.0,"Enikepadu, Vijayawada",1719 ,Dial To Property,1 open sidesWest facing,New
131,Residential Plot,3019000.0,"Nidamanuru, Vijayawada",1647 ,Dial To Property,7 - 8 years old1 open sidesEast facing,New
132,Residential Plot,2909000.0,"Nidamanuru, Vijayawada",1647 ,Dial To Property,7 - 8 years old1 open sidesWest facing,New
133,Residential Plot,3019000.0,"Nidamanuru, Vijayawada",1647 ,Dial To Property,7 - 8 years old4 open sidesEast facing,New
134,Residential Plot,2727000.0,"Gannavaram, Vijayawada",202 ,Dial To Property,1 open sidesWest facing,New
135,Residential Plot,2909000.0,"Nidamanuru, Vijayawada",1647 ,Dial To Property,7 - 8 years old4 open sidesWest facing,New
136,Residential Plot,2909000.0,"Kesarapalle, Vijayawada",1647 ,Dial To Property,5 - 6 years old,New
137,Residential Plot,2025000.0,"Enikepadu, Vijayawada",150 ,Dial To Property,1 open sidesWest facing,New
138,2 BHK Apartment,5640000.0,"Kanuru, Vijayawada",1187 ,AP and TS Properties,2 BathroomsNew ,Under Construction
139,3 BHK Apartment,6804000.000000001,"Kanuru, Vijayawada",1512 ,AP and TS Properties,3 BathroomsNew East facing,Under Construction
140,3 BHK Independent Floor,12500000.0,"Bharathi Nagar, Vijayawada",1875 ,AP and TS Properties,3 BathroomsNew ,Under Construction
141,2 BHK Apartment,4555000.0,"Benz Circle, Vijayawada",1200 ,AP and TS Properties,2 BathroomsNew ,Ready to move
142,2 BHK Apartment,4555000.0,"Benz Circle, Vijayawada",1200 ,AP and TS Properties,2 BathroomsNew ,Ready to move
143,3 BHK Apartment,9870000.0,"Kanuru, Vijayawada",2350 ,AP and TS Properties,3 BathroomsNew ,Under Construction
144,2 BHK Apartment,7500000.0,"Benz Circle, Vijayawada",1200 ,AP and TS Properties,2 BathroomsNew ,Under Construction
145,2 BHK Apartment,5940000.0,"Kanuru, Vijayawada",1250 ,AP and TS Properties,2 BathroomsNew East facing,Under Construction
146,3 BHK Apartment,7125000.0,"Currency Nagar, Vijayawada",1500 ,AP and TS Properties,3 BathroomsNew ,Under Construction
147,2 BHK Apartment,5413000.0,"Kanuru, Vijayawada",1203 ,AP and TS Properties,2 BathroomsNew ,Under Construction
148,3 BHK Apartment,9975000.0,"Currency Nagar, Vijayawada",2100 ,AP and TS Properties,3 BathroomsNew ,Under Construction
149,2 BHK Apartment,5640000.0,"Kanuru, Vijayawada",1187 ,AP and TS Properties,2 BathroomsNew ,Under Construction
150,Residential Plot,2287000.0,"Kankipadu, Vijayawada",1647 ,Dial To Property,7 - 8 years old,New
151,Residential Plot,3365999.9999999995,"Kankipadu, Vijayawada",1782 ,AP and TS Properties,7 - 8 years old4 open sidesEast facing,New
152,Residential Plot,3400000.0,"Gannavaram, Vijayawada",1650 ,AP and TS Properties,5 open sidesEast facing,New
153,Residential Plot,3000000.0,"Gannavaram, Vijayawada",1584 ,AP and TS Properties,East facing,New
154,Residential Plot,3111000.0,"Kankipadu, Vijayawada",1647 ,AP and TS Properties,7 - 8 years old4 open sidesEast facing,New
155,Residential Plot,3468000.0,"Kankipadu, Vijayawada",1836 ,AP and TS Properties,7 - 8 years old4 open sidesEast facing,New
156,Residential Plot,3876000.0,"Kankipadu, Vijayawada",2052 ,AP and TS Properties,7 - 8 years old4 open sidesEast facing,New
157,Residential Plot,3672000.0,"Kankipadu, Vijayawada",1944 ,AP and TS Properties,7 - 8 years old4 open sidesEast facing,New
158,3 BHK Apartment,10800000.0,"Sri Ramachandra Nagar, Vijayawada",2000 ,Guest,7 - 8 years old3 BathroomsNew ,Ready to move
159,3 BHK Apartment,19000000.0,"Sri Ramachandra Nagar, Vijayawada",3322 ,Guest,7 - 8 years old3 BathroomsNew ,Ready to move
160,3 BHK Apartment,13200000.0,"Sri Ramachandra Nagar, Vijayawada",2320 ,Guest,7 - 8 years old3 BathroomsNew ,Ready to move
161,3 BHK Apartment,10000000.0,"Kanuru, Vijayawada",2000 ,Guest,3 BathroomsNew ,Ready to move
162,3 BHK Independent Floor,13000000.0,"Moghalrajpuram, Vijayawada",2000 ,Guest,7 years old3 BathroomsNew ,Ready to move
163,3 BHK Independent Floor,13000000.0,"Sri Ramachandra Nagar, Vijayawada",2070 ,Guest,7 - 8 years old3 BathroomsNew ,Ready to move
164,3 BHK Apartment,11600000.0,"Sri Ramachandra Nagar, Vijayawada",2110 ,Guest,7 - 8 years old3 BathroomsNew ,Ready to move
165,2 BHK Apartment,7601000.000000001,"Sri Ramachandra Nagar, Vijayawada",1460 ,Guest,7 - 8 years old2 BathroomsNew ,Ready to move
166,4 BHK Independent Floor,21000000.0,"Sri Ramachandra Nagar, Vijayawada",3200 ,Guest,7 - 8 years old4 BathroomsNew ,Ready to move
167,3 BHK Apartment,8000000.0,"Sri Ramachandra Nagar, Vijayawada",1460 ,Guest,3 - 4 years old3 BathroomsNew ,Ready to move
168,3 BHK Apartment,8001000.000000001,"Sri Ramachandra Nagar, Vijayawada",1460 ,Guest,7 - 8 years old3 BathroomsNew ,Ready to move
169,2 BHK Apartment,3724000.0,"Kesarapalli, Vijayawada",1221 ,Himaja Constructions P Ltd,2 - 3 years oldNew ,Ready to move
170,2 BHK Apartment,3632000.0,"Kesarapalli, Vijayawada",1191 ,Himaja Constructions P Ltd,2 - 3 years oldNew ,Ready to move
171,2 BHK Apartment,6125000.0,"Benz Circle, Vijayawada",1250 ,Guest,2 BathroomsNew East facing,Under Construction
172,3 BHK Apartment,8913000.0,"Benz Circle, Vijayawada",1819 ,Guest,3 BathroomsNew East facing,Under Construction
173,2 BHK Apartment,6272000.0,"Benz Circle, Vijayawada",1280 ,Guest,2 BathroomsNew East facing,Under Construction
174,3 BHK Apartment,8000000.0,"Sri Ramachandra Nagar, Vijayawada",1460 ,Guest,3 - 4 years old2 BathroomsNew ,Ready to move
175,3 BHK Apartment,15000000.0,"Labbipet, Vijayawada",2300 ,Guest,3 BathroomsNew ,Ready to move
176,3 BHK Apartment,10000000.0,"Kanuru, Vijayawada",2000 ,Guest,3 BathroomsNew ,Ready to move
177,3 BHK Apartment,10000000.0,"Kanuru, Vijayawada",2000 ,Guest,3 BathroomsNew ,Ready to move
178,3 BHK Apartment,9800000.0,"Kanuru, Vijayawada",2000 ,Guest,3 BathroomsNew ,Ready to move
179,3 BHK Apartment,7800000.0,"Sri Ramachandra Nagar, Vijayawada",1460 ,Guest,7 - 8 years old3 BathroomsNew ,Ready to move
180,3 BHK Apartment,11500000.0,"Sri Ramachandra Nagar, Vijayawada",2110 ,Guest,7 - 8 years old3 BathroomsNew ,Ready to move
181,Residential Plot,2300000.0,"Penamaluru, Vijayawada",1107 ,satya, 1.99 L booking amount,New
182,Residential Plot,1998999.9999999998,"Kankipadu, Vijayawada",1500 ,satya," 99,999 booking amountEast facing",New
183,Residential Plot,540000.0,"Vijayawada Nuzvidu Road, Vijayawada",1080 ,PropertiesAdda,"1 open sides 20,000 booking amountNorth facing",New
184,Residential Plot,3529999.9999999995,"Kanuru, Vijayawada",1548 ,mohammad ghouse,1 - 2 years old1 open sides 1 L booking amount,Resale
185,Residential Plot,6210000.0,"Kankipadu, Vijayawada",2430 ,PAWAN PROPERTIES,1 open sides 1 L booking amountEast facing,New
186,2 BHK Independent House,6800000.0,"Andhra Prabha Colony Road, Vijayawada",900 ,ksairams,1 - 2 years old2 BathroomsNew ,Ready to move
187,2 BHK Independent House,3500000.0,"Kankipadu, Vijayawada",1350 ,satya,Possession by Aug 20212 BathroomsNew ,Under Construction
188,2 BHK Independent House,5499000.0,"Penamaluru, Vijayawada",1350 ,satya,Possession by Feb 20222 BathroomsNew ,Under Construction
189,2 BHK Independent Floor,3500000.0,"Kankipadu, Vijayawada",1350 ,satya,Possession by Jul 20212 BathroomsNew ,Under Construction
190,2 BHK Independent House,5999000.0,"Penamaluru, Vijayawada",1100 ,satya,Possession by Dec 20232 BathroomsNew ,Under Construction
191,2 BHK Independent House,4200000.0,"Kankipadu, Vijayawada",1440 ,satya,6 - 7 years old2 BathroomsResale ,Ready to move
192,2 BHK Independent House,3300000.0,"Kankipadu, Vijayawada",1350 ,satya,Possession by Aug 20202 BathroomsNew ,Under Construction
193,2 BHK Apartment,3300000.0,"Gollapudi1, Vijayawada",1050 ,ksairams,2 - 3 years old2 Bathrooms1st of 4floor,Ready to move
194,Residential Plot,539000.0,"SURAMPALLI, Vijayawada",1080 ,Garima,"1 open sides 20,000 booking amountWest facing",New
195,Residential Plot,539000.0,"SURAMPALLI, Vijayawada",1080 ,Garima,"1 open sides 20,000 booking amountSouth facing",New
196,Residential Plot,539000.0,"SURAMPALLI, Vijayawada",1080 ,Garima,"1 open sides 20,000 booking amountNorth facing",New
197,Residential Plot,539000.0,"Nuzividu, Vijayawada",1080 ,Garima,"2 open sides 20,000 booking amountNorthWest facing",New
198,Residential Plot,539000.0,"Nuzividu, Vijayawada",1080 ,Garima,"2 open sides 20,000 booking amountSouthEast facing",New
